Date,Ticker,compound,neg,neu,pos
2021-04-11,AMC,0.886,0.0,0.634,0.366
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-12,AMC,0.0,0.0,1.0,0.0
2021-04-12,AMC,0.3612,0.0,0.783,0.217
2021-04-12,AMC,0.4404,0.0,0.868,0.132
2021-04-12,AMC,0.5859,0.0,0.696,0.304
2021-04-12,AMC,0.765,0.0,0.68,0.32
2021-04-12,AMC,-0.7783,0.405,0.595,0.0
2021-04-12,AMC,0.0,0.0,1.0,0.0
2021-04-12,AMC,0.296,0.0,0.833,0.167
2021-04-12,AMC,0.4404,0.0,0.838,0.162
2021-04-12,AMC,0.5859,0.0,0.676,0.324
2021-04-12,AMC,0.0,0.0,1.0,0.0
2021-04-12,AMC,0.0,0.0,1.0,0.0
2021-04-12,AMC,0.296,0.0,0.896,0.104
2021-04-12,AMC,0.6369,0.0,0.785,0.215
2021-04-12,AMC,0.296,0.0,0.833,0.167
2021-04-12,AMC,0.0,0.0,1.0,0.0
2021-04-12,AMC,-0.128,0.14,0.744,0.116
2021-04-12,AMC,0.0,0.0,1.0,0.0
2021-04-12,AMC,0.0772,0.114,0.759,0.127
2021-04-12,AMC,-0.1531,0.117,0.792,0.092
2021-04-12,AMC,0.296,0.0,0.896,0.104
2021-04-12,AMC,0.296,0.0,0.645,0.355
2021-04-12,AMC,0.4588,0.0,0.842,0.158
2021-04-12,AMC,0.296,0.0,0.645,0.355
2021-04-12,AMC,-0.8176,0.517,0.483,0.0
2021-04-12,AMC,0.0,0.0,1.0,0.0
2021-04-12,AMC,0.0,0.0,1.0,0.0
2021-04-12,AMC,0.4449,0.0,0.867,0.133
2021-04-12,AMC,0.0,0.0,1.0,0.0
2021-04-12,AMC,0.0,0.0,1.0,0.0
2021-04-12,AMC,-0.3182,0.103,0.897,0.0
2021-04-12,AMC,-0.5423,0.132,0.868,0.0
2021-04-12,AMC,0.4576,0.0,0.77,0.23
2021-04-12,AMC,0.1154,0.0,0.935,0.065
2021-04-12,AMC,0.0,0.0,1.0,0.0
2021-04-12,AMC,0.091,0.205,0.558,0.237
2021-04-12,AMC,0.0,0.0,1.0,0.0
2021-04-12,AMC,0.0,0.0,1.0,0.0
2021-04-12,AMC,0.0,0.0,1.0,0.0
2021-04-12,AMC,0.0,0.0,1.0,0.0
2021-04-12,AMC,0.3761,0.111,0.663,0.226
2021-04-12,AMC,0.296,0.0,0.905,0.095
2021-04-12,AMC,0.0,0.0,1.0,0.0
2021-04-12,AMC,0.296,0.0,0.896,0.104
2021-04-12,AMC,-0.4939,0.314,0.686,0.0
2021-04-12,AMC,0.6486,0.0,0.71,0.29
2021-04-12,AMC,-0.5106,0.301,0.699,0.0
2021-04-12,AMC,0.2924,0.0,0.913,0.087
2021-04-12,AMC,0.4023,0.0,0.881,0.119
2021-04-12,AMC,0.5849,0.0,0.828,0.172
2021-04-12,AMC,-0.4404,0.121,0.879,0.0
2021-04-12,AMC,0.0,0.0,1.0,0.0
2021-04-12,AMC,0.4404,0.0,0.879,0.121
2021-04-12,AMC,0.0,0.0,1.0,0.0
2021-04-12,AMC,0.0,0.0,1.0,0.0
2021-04-12,AMC,0.0,0.0,1.0,0.0
2021-04-12,AMC,0.0,0.0,1.0,0.0
2021-04-12,AMC,0.0,0.0,1.0,0.0
2021-04-12,AMC,-0.6486,0.301,0.699,0.0
2021-04-12,AMC,0.0,0.0,1.0,0.0
2021-04-12,AMC,-0.2263,0.205,0.659,0.136
2021-04-12,AMC,-0.3173,0.199,0.712,0.09
2021-04-12,AMC,0.4939,0.0,0.819,0.181
2021-04-12,AMC,0.8519,0.0,0.244,0.756
2021-04-12,AMC,0.0,0.0,1.0,0.0
2021-04-12,AMC,0.3612,0.0,0.872,0.128
2021-04-12,AMC,0.1531,0.091,0.794,0.115
2021-04-12,AMC,-0.3182,0.103,0.897,0.0
2021-04-12,AMC,0.6369,0.0,0.84,0.16
2021-04-12,AMC,0.4023,0.0,0.881,0.119
2021-04-12,AMC,0.0,0.0,1.0,0.0
2021-04-12,AMC,-0.296,0.121,0.879,0.0
2021-04-12,AMC,0.0,0.0,1.0,0.0
2021-04-12,AMC,0.8519,0.0,0.591,0.409
2021-04-12,AMC,-0.6486,0.177,0.823,0.0
2021-04-12,AMC,0.3612,0.074,0.772,0.154
2021-04-12,AMC,0.0,0.0,1.0,0.0
2021-04-12,AMC,0.296,0.0,0.896,0.104
2021-04-12,AMC,0.296,0.0,0.879,0.121
2021-04-12,AMC,0.0,0.0,1.0,0.0
2021-04-12,AMC,0.3612,0.0,0.872,0.128
2021-04-12,AMC,0.4767,0.059,0.773,0.168
2021-04-12,AMC,0.0,0.0,1.0,0.0
2021-04-12,AMC,0.0,0.0,1.0,0.0
2021-04-12,AMC,0.4404,0.0,0.707,0.293
2021-04-12,AMC,0.3612,0.0,0.872,0.128
2021-04-12,AMC,0.4404,0.0,0.879,0.121
2021-04-12,AMC,0.3612,0.0,0.872,0.128
2021-04-12,AMC,0.0,0.0,1.0,0.0
2021-04-12,AMC,0.0,0.0,1.0,0.0
2021-04-12,AMC,0.6573,0.0,0.598,0.402
2021-04-12,AMC,0.0,0.0,1.0,0.0
2021-04-12,AMC,0.3612,0.0,0.872,0.128
2021-04-12,AMC,0.8519,0.0,0.244,0.756
2021-04-12,AMC,-0.6486,0.301,0.699,0.0
2021-04-12,AMC,0.6997,0.0,0.726,0.274
2021-04-12,AMC,0.5106,0.0,0.864,0.136
2021-04-11,AMC,0.3612,0.0,0.667,0.333
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,0.8074,0.0,0.711,0.289
2021-04-11,AMC,-0.1169,0.093,0.836,0.071
2021-04-11,AMC,0.7506,0.0,0.619,0.381
2021-04-11,AMC,0.2023,0.0,0.899,0.101
2021-04-11,AMC,0.5719,0.0,0.844,0.156
2021-04-11,AMC,0.8402,0.0,0.556,0.444
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,0.5699,0.211,0.425,0.364
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,0.4588,0.0,0.786,0.214
2021-04-11,AMC,0.3182,0.0,0.723,0.277
2021-04-11,AMC,0.5719,0.0,0.824,0.176
2021-04-11,AMC,0.6526,0.0,0.709,0.291
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,0.34,0.0,0.893,0.107
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,-0.6486,0.462,0.538,0.0
2021-04-11,AMC,0.2023,0.0,0.909,0.091
2021-04-11,AMC,0.7964,0.09,0.627,0.283
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,0.0,0.0,1.0,0.0
2021-04-11,AMC,0.0,0.0,1.0,0.0
